NL,2019-11-26 08:50:00,2019-11-26 09:00:00,0.031531696092514494,-0.4500004577636716,-0.24000022888183636,-0.21000052888183607
NL,2019-11-26 09:25:00,2019-11-26 09:35:00,0.13126389284928663,0.4100001525878909,-0.2199997711181645,0.6299996237060546
NL,2019-11-25 16:40:00,2019-11-25 16:50:00,-0.05197460940389931,0.09000045776367216,-0.19999979019165082,0.28999994795532213
NL,2019-11-26 09:35:00,2019-11-26 09:45:00,0.3735706668911565,0.4399998855590823,-0.059999923706055114,0.4999995092651366
NL,2019-11-25 16:30:00,2019-11-25 16:40:00,-0.05183914962567826,0.13999969482421903,-0.21000001907348675,0.34999941389770495
NL,2019-11-26 09:45:00,2019-11-26 09:55:00,0.19438884542101853,0.4699996185302737,-0.059999923706055114,0.529999242236328
NL,2019-11-26 09:00:00,2019-11-26 09:10:00,-0.042902702093124745,0.2100003433227542,-0.6399998474121098,0.8499998907348632
NL,2019-11-26 08:45:00,2019-11-26 08:55:00,0.3793886264165245,-0.7199999618530271,1.7099995803833004,-2.4299998422363283
NL,2019-11-26 09:15:00,2019-11-26 09:25:00,0.04964541227389674,-0.02000015258789034,-0.3899998474121098,0.3699993948242186
NL,2019-11-26 09:40:00,2019-11-26 09:50:00,0.24362619354226567,0.4699996185302737,-0.059999923706055114,0.529999242236328
NL,2019-11-25 16:45:00,2019-11-25 16:55:00,-0.23861083189646415,0.09000045776367216,-0.1100001144409184,0.2000002722045897
NL,2019-11-26 09:55:00,2019-11-26 10:05:00,0.5982979767250303,0.5999997329711917,-0.059999923706055114,0.659999356677246
NL,2019-11-25 16:35:00,2019-11-25 16:45:00,-0.07061105736515039,0.13999969482421903,-0.21000001907348675,0.34999941389770495
NL,2019-11-26 09:50:00,2019-11-26 10:00:00,0.43019533336803484,0.5900004577636722,-0.059999923706055114,0.6500000814697264
NL,2019-11-26 08:55:00,2019-11-26 09:05:00,-0.07857024702085091,0.2100003433227542,-0.6399998474121098,0.8499998907348632
NL,2019-11-26 09:05:00,2019-11-26 09:15:00,0.106485599343495,0.28000003814697294,-0.46000001907348675,0.7399997572204589
NL,2019-11-26 09:20:00,2019-11-26 09:30:00,-0.06865455413210242,0.30999977111816435,-0.3899998474121098,0.6999993185302733
NL,2019-11-26 09:10:00,2019-11-26 09:20:00,0.07036104732089576,0.28000003814697294,-0.46000001907348675,0.7399997572204589
NL,2019-11-26 09:30:00,2019-11-26 09:40:00,0.4143888687094055,0.4399998855590823,-0.19999979019165082,0.6399993757507323
AT,2019-11-25 16:40:00,2019-11-25 16:50:00,-4.661154759214037,-6.329999771118164,-2.3299998092651366,-3.9999999618530273
AT,2019-11-26 09:00:00,2019-11-26 09:10:00,-6.005238050506228,-6.959999885559082,-4.739999895095825,-2.219999990463257
AT,2019-11-25 16:30:00,2019-11-25 16:40:00,-4.492877689690509,-6.320000019073486,-2.439999942779541,-3.8800000762939453
AT,2019-11-25 16:35:00,2019-11-25 16:45:00,-4.695359282885795,-6.329999771118164,-2.439999942779541,-3.889999828338623
AT,2019-11-26 09:30:00,2019-11-26 09:40:00,-5.437682498447478,-6.6800001525878905,-3.5900000381469725,-3.090000114440918
AT,2019-11-26 09:45:00,2019-11-26 09:55:00,-5.3015714774056075,-6.660000171661377,-3.1499999809265136,-3.5100001907348632
AT,2019-11-25 16:45:00,2019-11-25 16:55:00,-4.59847612835112,-6.579999771118164,-2.3299998092651366,-4.249999961853027
AT,2019-11-26 08:55:00,2019-11-26 09:05:00,-6.499135499559479,-6.999999847412109,-4.739999895095825,-2.259999952316284
AT,2019-11-26 09:10:00,2019-11-26 09:20:00,-5.881186866585588,-6.829999771118164,-4.330000047683716,-2.499999723434448
AT,2019-11-26 09:05:00,2019-11-26 09:15:00,-5.49097622235616,-6.9300001525878905,-3.7800000953674315,-3.150000057220459
AT,2019-11-26 09:35:00,2019-11-26 09:45:00,-5.416963577203723,-6.6800001525878905,-3.4699999141693114,-3.210000238418579
AT,2019-11-26 09:20:00,2019-11-26 09:30:00,-5.61081384394592,-6.760000076293945,-4.469999914169311,-2.2900001621246338
AT,2019-11-26 09:55:00,2019-11-26 10:05:00,-5.033353103518681,-6.600000228881836,-3.0400000858306884,-3.5600001430511474
AT,2019-11-26 09:50:00,2019-11-26 10:00:00,-5.26434926419031,-6.640000190734863,-3.1499999809265136,-3.4900002098083496
AT,2019-11-26 09:15:00,2019-11-26 09:25:00,-5.632404766763959,-6.80999979019165,-4.330000047683716,-2.4799997425079345
AT,2019-11-26 08:50:00,2019-11-26 09:00:00,-6.135460299537295,-7.039999809265137,-4.169999961853027,-2.8699998474121093
AT,2019-11-26 09:25:00,2019-11-26 09:35:00,-5.664592255935782,-6.760000076293945,-4.469999914169311,-2.2900001621246338
AT,2019-11-26 09:40:00,2019-11-26 09:50:00,-5.269534431185041,-6.700000133514404,-3.4699999141693114,-3.2300002193450927
DE,2019-11-25 16:40:00,2019-11-25 16:50:00,-1.7463403891680533,-1.8299995803833013,-0.5300000953674315,-1.299999485015869
DE,2019-11-25 16:35:00,2019-11-25 16:45:00,-2.0014317261369534,-1.79999984741211,-0.5300000953674315,-1.2699997520446775
DE,2019-11-25 16:30:00,2019-11-25 16:40:00,-1.8807594455504253,-1.7499996566772467,-0.4899998950958251,-1.2599999999999998
DE,2019-11-26 09:00:00,2019-11-26 09:10:00,-1.7407593883517993,-2.3500000381469732,-0.030000095367431534,-2.319999942779541
DE,2019-11-26 09:20:00,2019-11-26 09:30:00,-1.4009473670992936,-2.230000152587891,0.2900000762939454,-2.5200002288818357
